Type	Uid	Gid	Mode	MTime	CTime	Meta	Version	Chattr	Acl	DefaultAcl	Selinux	Capabilities	Size	MD5	SHA1	SHA256	SHA512
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227873	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 21112	9997d15729e9d4aa20d558d72edad49a	091e7151d695a57d90f8ca56a6f07a7b95d8d284	f0d2a8f9668f076e403888ef19492485b34dd48e877e3c7fb60e11856b3c48da	97fa17f18a478316c7f039c638d48975c967ad16523cf648ba16b40b0d1dca1823a15fa8c4597e7c2db647045deea86f5a78bdd1bcccddf8d7d31c982700887c
/bin/false																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227041	-------------e-			system_u:object_r:bin_t:s0		1395661792 1397647513 66136	9f339b9a030a333e57f851b0691a5b95	48f59bf90b242c5c6dff551509d7b99870bb1b29	489c0edddc627d8fcef947e05d48589d852507fe6e1f297e19bc7e59ac9bbdad	4a3cf58f9052d25c394835a17ed290bb3f5ea5e7b8ddf038106927807cea98eb23e8c692806a42079f42aa31c0511bab9482d5b274186959961d0f8d3cc65150
/bin/fgrep																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003229340	-------------e-			system_u:object_r:bin_t:s0		1289461785 1397647617 234512	b77cf21709e065000a86023a74406546	120944516271209af76f892cd79ebcf31cc2d9d6	c09f6e9dd7b76bfb0722658689cb5350755af53fcc1114ead6675a0ac5ab7fa8	445333290d7fa8bff1c03ce68e1964a55a4a405ecdf8510fe8cc3d4fda93bf957e4a71cb7c8829655139887d1c3ac2150889227bbf143689cb2dd92932ffe8ce
/bin/find																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232543	-------------e-			system_u:object_r:bin_t:s0		1385134181 1397647634 36392	4daeba4eafde3613253a2a441d946a30	624e19ba25d93b8a1098247cfb634b35186c0461	435ccd53b37538691ff1f536e7767146ec9ee83ab89d21441335a8da96472a08	3ac56ea0003e5e5c15c5fcb54c571bb3be43a1651b0a007480900491802020a5c2ed7d4d5638aec796ec71c6fef1d7e71b3f911e79c186560d0db1c23f20b6ef
/bin/findmnt																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003229269	-------------e-			system_u:object_r:bin_t:s0		1344351835 1397647617 375360	030eaa98ed8d878e27944d0a725eb3b0	c8926c9ac0f1ee74e606788cc68cb3126642d840	6b8a70fd01ae6945219f6720d91fad2f31c932e1f8c49decb3c26362fcdf5e96	fbb63c25ed97cf3b035c40a1d8e94a041d784dacf9dcca008f64e2115eeb71cefe28824a1d36cf66ecf7aefd1da558b275606e60eb4dc8a4dd3e28a977f0c800
/bin/gawk																	
